Date,Sale
2015-04-16,8516
2015-04-15,6489
2015-04-14,8357
2015-04-13,9881
2015-04-12,0
2015-04-11,3546
2015-04-10,5271
2015-04-09,6309
2015-04-08,6183
2015-04-07,6784
2015-04-06,0
2015-04-05,0
2015-04-04,4838
2015-04-03,0
2015-04-02,10532
2015-04-01,8872
2015-03-31,8752
2015-03-30,9514
2015-03-29,0
2015-03-28,3502
2015-03-27,5172
2015-03-26,5508
2015-03-25,5136
2015-03-24,5581
2015-03-23,5613
2015-03-22,0
2015-03-21,2993
2015-03-20,5853
2015-03-19,8233
2015-03-18,6737
2015-03-17,7635
2015-03-16,9339
2015-03-15,0
2015-03-14,3414
2015-03-13,4712
2015-03-12,6036
2015-03-11,4972
2015-03-10,5538
2015-03-09,4841
2015-03-08,0
2015-03-07,3589
2015-03-06,6260
2015-03-05,8282
2015-03-04,6805
2015-03-03,8163
2015-03-02,8923
2015-03-01,0
2015-02-28,4103
2015-02-27,6145
2015-02-26,6350
2015-02-25,5473
2015-02-24,5368
2015-02-23,4977
2015-02-22,0
2015-02-21,3402
2015-02-20,6002
2015-02-19,7768
2015-02-18,7449
2015-02-17,7938
2015-02-16,9169
2015-02-15,0
2015-02-14,3765
2015-02-13,5296
2015-02-12,5694
2015-02-11,5051
2015-02-10,5070
2015-02-09,5787
2015-02-08,0
2015-02-07,3603
2015-02-06,6205
2015-02-05,7002
2015-02-04,6877
2015-02-03,8146
2015-02-02,8679
2015-02-01,0
2015-01-31,4063
2015-01-30,6401
2015-01-29,8403
2015-01-28,6071
2015-01-27,7804
2015-01-26,7502
2015-01-25,0
2015-01-24,2803
2015-01-23,4517
2015-01-22,5447
2015-01-21,4670
2015-01-20,5540
2015-01-19,6083
2015-01-18,0
2015-01-17,3571
2015-01-16,6558
2015-01-15,7242
2015-01-14,6731
2015-01-13,6463
2015-01-12,8425
2015-01-11,0
2015-01-10,2763
2015-01-09,4593
2015-01-08,6089
2015-01-07,7262
2015-01-06,7182
2015-01-05,9390
2015-01-04,0
2015-01-03,3250
2015-01-02,5028
2015-01-01,0
2014-12-31,3025
2014-12-30,6463
2014-12-29,7086
2014-12-28,0
2014-12-27,3806
2014-12-26,0
2014-12-25,0
2014-12-24,3738
2014-12-23,7962
2014-12-22,7248
2014-12-21,0
2014-12-20,4339
2014-12-19,7381
2014-12-18,9008
2014-12-17,8282
2014-12-16,9550
2014-12-15,10956
2014-12-14,0
2014-12-13,4457
2014-12-12,5008
2014-12-11,6076
2014-12-10,5649
2014-12-09,6751
2014-12-08,6852
2014-12-07,0
2014-12-06,5486
2014-12-05,8258
2014-12-04,8417
2014-12-03,7504
2014-12-02,8470
2014-12-01,10924
2014-11-30,0
2014-11-29,5052
2014-11-28,8094
2014-11-27,9182
2014-11-26,8065
2014-11-25,7840
2014-11-24,9339
2014-11-23,0
2014-11-22,3591
2014-11-21,4958
2014-11-20,5759
2014-11-19,5376
2014-11-18,5834
2014-11-17,6416
2014-11-16,0
2014-11-15,3583
2014-11-14,5749
2014-11-13,7844
2014-11-12,7146
2014-11-11,7782
2014-11-10,8504
2014-11-09,0
2014-11-08,3274
2014-11-07,7069
2014-11-06,7378
2014-11-05,6603
2014-11-04,7805
2014-11-03,9844
2014-11-02,0
2014-11-01,3903
2014-10-31,6223
2014-10-30,6677
2014-10-29,5042
2014-10-28,5477
2014-10-27,5067
2014-10-26,0
2014-10-25,3128
2014-10-24,6330
2014-10-23,6936
2014-10-22,5869
2014-10-21,6081
2014-10-20,8561
2014-10-19,0
2014-10-18,3355
2014-10-17,4318
2014-10-16,5516
2014-10-15,4404
2014-10-14,4754
2014-10-13,5053
2014-10-12,0
2014-10-11,3688
2014-10-10,6394
2014-10-09,7586
2014-10-08,6783
2014-10-07,6435
2014-10-06,10198
2014-10-05,0
2014-10-04,4208
2014-10-03,0
2014-10-02,8234
2014-10-01,6826
2014-09-30,9061
2014-09-29,8630
2014-09-28,0
2014-09-27,3380
2014-09-26,5186
2014-09-25,5233
2014-09-24,5021
2014-09-23,5135
2014-09-22,4737
2014-09-21,0
2014-09-20,2626
2014-09-19,5685
2014-09-18,6552
2014-09-17,6038
2014-09-16,7046
2014-09-15,8513
2014-09-14,0
2014-09-13,3268
2014-09-12,4859
2014-09-11,5369
2014-09-10,4117
2014-09-09,4040
2014-09-08,4844
2014-09-07,0
2014-09-06,2823
2014-09-05,5838
2014-09-04,6689
2014-09-03,6428
2014-09-02,6897
2014-09-01,9367
2014-08-31,0
2014-08-30,3802
2014-08-29,5373
2014-08-28,5374
2014-08-27,4563
2014-08-26,4027
2014-08-25,4894
2014-08-24,0
2014-08-23,2910
2014-08-22,5039
2014-08-21,6594
2014-08-20,5982
2014-08-19,6890
2014-08-18,7444
2014-08-17,0
2014-08-16,2254
2014-08-15,4095
2014-08-14,4588
2014-08-13,4178
2014-08-12,4351
2014-08-11,4815
2014-08-10,0
2014-08-09,2483
2014-08-08,5187
2014-08-07,6240
2014-08-06,6070
2014-08-05,7054
2014-08-04,8066
2014-08-03,0
2014-08-02,3100
2014-08-01,6115
2014-07-31,7337
2014-07-30,6219
2014-07-29,6700
2014-07-28,7774
2014-07-27,0
2014-07-26,2656
2014-07-25,3959
2014-07-24,4357
2014-07-23,3557
2014-07-22,3884
2014-07-21,5180
2014-07-20,0
2014-07-19,2445
2014-07-18,5007
2014-07-17,7147
2014-07-16,6317
2014-07-15,7085
2014-07-14,7606
2014-07-13,0
2014-07-12,2969
2014-07-11,4483
2014-07-10,5518
2014-07-09,4267
2014-07-08,4331
2014-07-07,5486
2014-07-06,0
2014-07-05,2565
2014-07-04,5093
2014-07-03,6978
2014-07-02,6475
2014-07-01,8053
2014-06-30,9775
2014-06-29,0
2014-06-28,2810
2014-06-27,4334
2014-06-26,4779
2014-06-25,4058
2014-06-24,4828
2014-06-23,4795
2014-06-22,0
2014-06-21,2759
2014-06-20,5236
2014-06-19,6638
2014-06-18,5944
2014-06-17,6640
2014-06-16,7949
2014-06-15,0
2014-06-14,2576
2014-06-13,4417
2014-06-12,5671
2014-06-11,4787
2014-06-10,5891
2014-06-09,0
2014-06-08,0
2014-06-07,2878
2014-06-06,5789
2014-06-05,6476
2014-06-04,7052
2014-06-03,7251
2014-06-02,8799
2014-06-01,0
2014-05-31,2990
2014-05-30,5717
2014-05-29,0
2014-05-28,5137
2014-05-27,5174
2014-05-26,4871
2014-05-25,0
2014-05-24,2657
2014-05-23,4887
2014-05-22,6673
2014-05-21,5064
2014-05-20,6191
2014-05-19,7996
2014-05-18,0
2014-05-17,2617
2014-05-16,3941
2014-05-15,4808
2014-05-14,5203
2014-05-13,4609
2014-05-12,4623
2014-05-11,0
2014-05-10,2713
2014-05-09,5925
2014-05-08,5968
2014-05-07,5357
2014-05-06,7095
2014-05-05,8967
2014-05-04,0
2014-05-03,2907
2014-05-02,6775
2014-05-01,0
2014-04-30,7589
2014-04-29,6998
2014-04-28,7840
2014-04-27,0
2014-04-26,2298
2014-04-25,3364
2014-04-24,4888
2014-04-23,4229
2014-04-22,4863
2014-04-21,0
2014-04-20,0
2014-04-19,3144
2014-04-18,0
2014-04-17,7662
2014-04-16,6931
2014-04-15,8942
2014-04-14,8189
2014-04-13,0
2014-04-12,2833
2014-04-11,4194
2014-04-10,5381
2014-04-09,4406
2014-04-08,4506
2014-04-07,4816
2014-04-06,0
2014-04-05,2677
2014-04-04,4978
2014-04-03,6697
2014-04-02,6452
2014-04-01,8406
2014-03-31,8934
2014-03-30,0
2014-03-29,2866
2014-03-28,4502
2014-03-27,5091
2014-03-26,4172
2014-03-25,4490
2014-03-24,4550
2014-03-23,0
2014-03-22,2701
2014-03-21,4308
2014-03-20,5616
2014-03-19,5517
2014-03-18,6688
2014-03-17,7658
2014-03-16,0
2014-03-15,2519
2014-03-14,3929
2014-03-13,4921
2014-03-12,4191
2014-03-11,4386
2014-03-10,4311
2014-03-09,0
2014-03-08,2806
2014-03-07,5634
2014-03-06,6717
2014-03-05,6329
2014-03-04,7519
2014-03-03,9385
2014-03-02,0
2014-03-01,3557
2014-02-28,4403
2014-02-27,5122
2014-02-26,3719
2014-02-25,3831
2014-02-24,4448
2014-02-23,0
2014-02-22,2838
2014-02-21,5064
2014-02-20,6580
2014-02-19,5299
2014-02-18,7008
2014-02-17,8750
2014-02-16,0
2014-02-15,2751
2014-02-14,4423
2014-02-13,5555
2014-02-12,4076
2014-02-11,4514
2014-02-10,4777
2014-02-09,0
2014-02-08,2804
2014-02-07,5145
2014-02-06,6649
2014-02-05,6595
2014-02-04,7493
2014-02-03,8864
2014-02-02,0
2014-02-01,2845
2014-01-31,4380
2014-01-30,5550
2014-01-29,3977
2014-01-28,4137
2014-01-27,4360
2014-01-26,0
2014-01-25,2424
2014-01-24,4992
2014-01-23,6666
2014-01-22,5726
2014-01-21,6390
2014-01-20,8293
2014-01-19,0
2014-01-18,2089
2014-01-17,3984
2014-01-16,4352
2014-01-15,3594
2014-01-14,3929
2014-01-13,4129
2014-01-12,0
2014-01-11,2563
2014-01-10,5481
2014-01-09,6011
2014-01-08,5677
2014-01-07,6468
2014-01-06,8611
2014-01-05,0
2014-01-04,2368
2014-01-03,4095
2014-01-02,5177
2014-01-01,0
2013-12-31,2694
2013-12-30,5735
2013-12-29,0
2013-12-28,2481
2013-12-27,4777
2013-12-26,0
2013-12-25,0
2013-12-24,3311
2013-12-23,8753
2013-12-22,0
2013-12-21,4307
2013-12-20,8010
2013-12-19,7867
2013-12-18,8575
2013-12-17,9375
2013-12-16,10322
2013-12-15,0
2013-12-14,3346
2013-12-13,4975
2013-12-12,5784
2013-12-11,4912
2013-12-10,5388
2013-12-09,5099
2013-12-08,0
2013-12-07,3881
2013-12-06,5501
2013-12-05,7335
2013-12-04,6884
2013-12-03,8255
2013-12-02,9550
2013-12-01,0
2013-11-30,4069
2013-11-29,5032
2013-11-28,5797
2013-11-27,4533
2013-11-26,4714
2013-11-25,5028
2013-11-24,0
2013-11-23,3077
2013-11-22,4925
2013-11-21,6341
2013-11-20,6195
2013-11-19,6779
2013-11-18,7831
2013-11-17,0
2013-11-16,2523
2013-11-15,4319
2013-11-14,5046
2013-11-13,4248
2013-11-12,4276
2013-11-11,4507
2013-11-10,0
2013-11-09,2474
2013-11-08,5547
2013-11-07,6685
2013-11-06,5816
2013-11-05,7629
2013-11-04,7156
2013-11-03,0
2013-11-02,2937
2013-11-01,4724
2013-10-31,5995
2013-10-30,4695
2013-10-29,4284
2013-10-28,3893
2013-10-27,0
2013-10-26,2284
2013-10-25,4970
2013-10-24,6093
2013-10-23,5349
2013-10-22,6778
2013-10-21,7723
2013-10-20,0
2013-10-19,2742
2013-10-18,3820
2013-10-17,3915
2013-10-16,3511
2013-10-15,3851
2013-10-14,5157
2013-10-13,0
2013-10-12,2153
2013-10-11,5018
2013-10-10,6000
2013-10-09,5218
2013-10-08,6621
2013-10-07,8217
2013-10-06,0
2013-10-05,2862
2013-10-04,4802
2013-10-03,0
2013-10-02,4771
2013-10-01,4857
2013-09-30,5396
2013-09-29,0
2013-09-28,2604
2013-09-27,4989
2013-09-26,6475
2013-09-25,5200
2013-09-24,6431
2013-09-23,7534
2013-09-22,0
2013-09-21,2023
2013-09-20,3628
2013-09-19,4278
2013-09-18,3545
2013-09-17,4473
2013-09-16,4001
2013-09-15,0
2013-09-14,2382
2013-09-13,5226
2013-09-12,6614
2013-09-11,5863
2013-09-10,7007
2013-09-09,7467
2013-09-08,0
2013-09-07,2323
2013-09-06,3586
2013-09-05,4907
2013-09-04,4359
2013-09-03,4698
2013-09-02,3931
2013-09-01,0
2013-08-31,2942
2013-08-30,6390
2013-08-29,6844
2013-08-28,6032
2013-08-27,6986
2013-08-26,8021
2013-08-25,0
2013-08-24,1890
2013-08-23,4104
2013-08-22,4272
2013-08-21,3740
2013-08-20,4103
2013-08-19,4048
2013-08-18,0
2013-08-17,1725
2013-08-16,4651
2013-08-15,6922
2013-08-14,6040
2013-08-13,7033
2013-08-12,8337
2013-08-11,0
2013-08-10,2378
2013-08-09,3901
2013-08-08,4648
2013-08-07,4158
2013-08-06,4090
2013-08-05,4805
2013-08-04,0
2013-08-03,2372
2013-08-02,4905
2013-08-01,7286
2013-07-31,7197
2013-07-30,6882
2013-07-29,8276
2013-07-28,0
2013-07-27,2257
2013-07-26,3011
2013-07-25,3986
2013-07-24,3689
2013-07-23,3462
2013-07-22,3989
2013-07-21,0
2013-07-20,1949
2013-07-19,5194
2013-07-18,5928
2013-07-17,5267
2013-07-16,6908
2013-07-15,7751
2013-07-14,0
2013-07-13,2335
2013-07-12,3881
2013-07-11,4399
2013-07-10,3668
2013-07-09,4513
2013-07-08,3960
2013-07-07,0
2013-07-06,2612
2013-07-05,4959
2013-07-04,6368
2013-07-03,5081
2013-07-02,6558
2013-07-01,7771
2013-06-30,0
2013-06-29,2468
2013-06-28,4293
2013-06-27,4961
2013-06-26,3794
2013-06-25,4090
2013-06-24,4572
2013-06-23,0
2013-06-22,2326
2013-06-21,5986
2013-06-20,6645
2013-06-19,5355
2013-06-18,7131
2013-06-17,8248
2013-06-16,0
2013-06-15,2653
2013-06-14,3828
2013-06-13,4608
2013-06-12,4295
2013-06-11,4875
2013-06-10,4942
2013-06-09,0
2013-06-08,2791
2013-06-07,5273
2013-06-06,6312
2013-06-05,5549
2013-06-04,7059
2013-06-03,7562
2013-06-02,0
2013-06-01,2678
2013-05-31,5701
2013-05-30,7077
2013-05-29,6244
2013-05-28,6662
2013-05-27,8313
2013-05-26,0
2013-05-25,2064
2013-05-24,3944
2013-05-23,4726
2013-05-22,4062
2013-05-21,4675
2013-05-20,0
2013-05-19,0
2013-05-18,2549
2013-05-17,5413
2013-05-16,6893
2013-05-15,5857
2013-05-14,7531
2013-05-13,7419
2013-05-12,0
2013-05-11,2552
2013-05-10,4974
2013-05-09,0
2013-05-08,4797
2013-05-07,4271
2013-05-06,5090
2013-05-05,0
2013-05-04,2517
2013-05-03,5790
2013-05-02,7765
2013-05-01,0
2013-04-30,8872
2013-04-29,8005
2013-04-28,0
2013-04-27,2471
2013-04-26,4663
2013-04-25,6315
2013-04-24,5061
2013-04-23,6195
2013-04-22,7436
2013-04-21,0
2013-04-20,2562
2013-04-19,3739
2013-04-18,5039
2013-04-17,3825
2013-04-16,4346
2013-04-15,3837
2013-04-14,0
2013-04-13,2202
2013-04-12,5379
2013-04-11,6009
2013-04-10,5239
2013-04-09,6875
2013-04-08,8004
2013-04-07,0
2013-04-06,2646
2013-04-05,4100
2013-04-04,4649
2013-04-03,4358
2013-04-02,5409
2013-04-01,0
2013-03-31,0
2013-03-30,3500
2013-03-29,0
2013-03-28,8966
2013-03-27,6482
2013-03-26,7070
2013-03-25,7724
2013-03-24,0
2013-03-23,2284
2013-03-22,4778
2013-03-21,6808
2013-03-20,7031
2013-03-19,6587
2013-03-18,7418
2013-03-17,0
2013-03-16,2512
2013-03-15,4424
2013-03-14,4878
2013-03-13,3973
2013-03-12,3729
2013-03-11,3641
2013-03-10,0
2013-03-09,2263
2013-03-08,5223
2013-03-07,6875
2013-03-06,5977
2013-03-05,7947
2013-03-04,8279
2013-03-03,0
2013-03-02,2574
2013-03-01,4465
2013-02-28,5545
2013-02-27,4152
2013-02-26,4031
2013-02-25,4241
2013-02-24,0
2013-02-23,2122
2013-02-22,5493
2013-02-21,6562
2013-02-20,6324
2013-02-19,6351
2013-02-18,8184
2013-02-17,0
2013-02-16,2488
2013-02-15,3737
2013-02-14,5316
2013-02-13,3993
2013-02-12,3503
2013-02-11,4215
2013-02-10,0
2013-02-09,2487
2013-02-08,6035
2013-02-07,6833
2013-02-06,6237
2013-02-05,6901
2013-02-04,8273
2013-02-03,0
2013-02-02,2399
2013-02-01,4406
2013-01-31,5680
2013-01-30,3638
2013-01-29,3846
2013-01-28,3459
2013-01-27,0
2013-01-26,2366
2013-01-25,5251
2013-01-24,6114
2013-01-23,6469
2013-01-22,5893
2013-01-21,7589
2013-01-20,0
2013-01-19,2357
2013-01-18,3619
2013-01-17,4833
2013-01-16,3508
2013-01-15,4358
2013-01-14,4128
2013-01-13,0
2013-01-12,2660
2013-01-11,4997
2013-01-10,6084
2013-01-09,5038
2013-01-08,6333
2013-01-07,7416
2013-01-06,0
2013-01-05,2337
2013-01-04,4059
2013-01-03,4842
2013-01-02,5419
2013-01-01,0
